sample_id	NCBI_accession
ea296969-1b4b-45bc-8198-cf8ab277c7e5	ERR1912979;ERR1912980;ERR1912981;ERR1912982;ERR1913171;ERR1913172;ERR1913173;ERR1913174
399648fa-03a5-4ce5-8c31-4e3df3556c8c	ERR1913002;ERR1913003;ERR1913004;ERR1913005;ERR1913194;ERR1913195;ERR1913196;ERR1913197
10daed22-5f5e-48a3-a3c5-7345db2e10a0	ERR1913084;ERR1913085;ERR1913086;ERR1913087;ERR1913276;ERR1913277;ERR1913278;ERR1913279
0a049680-2807-4f7b-a95e-4686ae1f0a32	ERR1913029;ERR1913030;ERR1913031;ERR1913221;ERR1913222;ERR1913223
84da035b-4f25-4d05-bf83-25f285b42572	ERR1913126;ERR1913318
5b2e04e3-b36e-4a48-8c99-28376b67b9fe	ERR1912990;ERR1913182
2ecc2c33-0722-40f7-92af-4e249b1cb8aa	ERR1913006;ERR1913198
0fbe77cd-1367-46d7-884c-d974748a5725	ERR1913063;ERR1913255
9da1ead6-f2c8-4477-aa7c-aa3ea2ac128d	ERR1913036;ERR1913228
d24d4f5b-9ea7-4a0d-a56f-73b6d49857a0	ERR1912957;ERR1913149
d64457e6-5ede-4ba6-ad41-37d2dadc43d9	ERR1913115;ERR1913307
6e763878-3599-430d-91e1-0fe7670e7efe	ERR1912971;ERR1913163
919a05fe-3faa-4ff8-a246-2a6eb576b712	ERR1912989;ERR1913181
2031667b-3d1b-41c6-a3bf-d7b0683e54b3	ERR1912949;ERR1912950;ERR1912951;ERR1912952;ERR1913141;ERR1913142;ERR1913143;ERR1913144
1fe4aa7d-eb24-48c0-ae5b-66d784f6c3fe	ERR1913119;ERR1913120;ERR1913121;ERR1913311;ERR1913312;ERR1913313
ca7c7fea-cfe5-49b3-9e34-d77f87809eb1	ERR1913073;ERR1913074;ERR1913075;ERR1913265;ERR1913266;ERR1913267
1b80dd38-c826-47e0-9929-9a1f57530343	ERR1913127;ERR1913319
a5303d4f-5adb-4d58-a862-e9205cd83ebf	ERR1912997;ERR1913189
