sample_id	NCBI_accession
c11c7280-ef3c-4c60-98b7-5997b89747dd	ERR9830112
20b58c14-2c6d-45e3-9100-657957e5180e	ERR9830113
69e48144-d85e-45f6-9051-2a8893c58943	ERR9830114
fcbeddff-7b34-4679-856b-06c1e55772e8	ERR9830115
d7e74de8-2d3b-462e-adb6-0b9a26e8b077	ERR9830116
ead1a6b6-90ac-4e7f-ae16-d1e45ed2353d	ERR9830117
1ef3ae23-81b3-4ca7-b9fa-cedd2a1e8c3a	ERR9830118
f0472a5b-0036-4ab4-ab27-18b429a82065	ERR9830119
a09bbec8-d603-48d8-b544-96db755f6eab	ERR9830120
631d7767-f470-42fa-8d99-54a13121d6c0	ERR9830121
069b8665-4014-4e04-8e23-da1dd568e2ca	ERR9830122
bde1441d-bf45-4eb7-b32b-b8ac7341fb3a	ERR9830123
c37acc6d-4773-4105-96a3-9c14da0f5652	ERR9830124
4c6e1230-ef45-483f-b2c5-6521c0c53132	ERR9830125
6be34a6b-5abc-4959-8836-7cf42195bf38	ERR9830126
9881b308-7e10-4c37-a699-e42384edfbb2	ERR9830127
fa5cd66c-df6a-4823-894c-6b6da036b5ec	ERR9830128
9708f2a0-4234-4761-85a9-fec5992a7206	ERR9830129
4e6560d4-601e-49d2-9eba-f92372bf402a	ERR9830130
9dcb08ce-0e93-4996-adec-9322beaf8516	ERR9830131
78ce3263-1e5b-4912-81e7-6c5f6526dded	ERR9830132
a02f2805-68cb-45ab-a2d1-18c1118d74a3	ERR9830133
67848892-6e02-47c2-ba55-c0239597a7cc	ERR9830134
3d8ff2c4-eb7a-4b44-b9c5-7e02cdce0511	ERR9830135
fe635904-0dca-4dc3-a330-e0781aa34fb6	ERR9830136
e4477feb-5f29-47ce-86ac-2c08daba293c	ERR9830137
9e1e65dd-61ea-4519-8011-19f1b0b9904d	ERR9830138
d391d51d-b25c-43f1-abd3-e444f5e82cd0	ERR9830139
110f5678-79d1-487c-a9ee-3a689214e3d3	ERR9830140
7ceb2447-a728-4ee2-acca-a4b693d01fd8	ERR9830141
822da213-a1db-45ec-98c3-2e51cd2d1d3c	ERR9830142
7f25e951-ee13-4d16-abbe-68cfd8cf4d38	ERR9830143
7890e7cb-14c0-4ebd-82d7-3397d5fe4e0d	ERR9830144
1a23b6b2-d5f1-4fc1-86bf-c4019f4bdf8b	ERR9830145
52af873d-06fa-4fcc-a7dc-7d4994f9462e	ERR9830146
