sample_id	NCBI_accession
ed48240e-5db7-425d-a246-cc651d3156a4	DRR480380
ebbf9eef-05db-4137-9750-e48df475bc6c	DRR480381
99848cfd-38a8-4b31-9ecd-5df70b882b74	DRR480382
34da175e-fff8-43a2-ad64-c7fa1125f586	DRR480383
f13c3568-75a7-4daf-ad94-3c1bf1fbdd71	DRR480384
1264d589-4386-40e6-91b9-a72186e76ccd	DRR480385
d0eb0411-7ec8-4da3-944d-b5289611df38	DRR480386
25e70bff-773c-43bb-8505-a6fcd1c45eb7	DRR480387
c6f52465-b2f3-4226-810d-802b37f7b567	DRR480388
3bf45362-1b3b-4d13-90f9-747d4f3c0667	DRR480389
9237370b-8c21-4150-b43d-9199d39a7d94	DRR480390
a9038c8a-4064-4ac4-9891-f99b9dcce122	DRR480391
a4f3cc30-22aa-4030-bc37-d4ac6bc0abc1	DRR480392
5b3086ad-7608-4603-8fa3-e1b773a7a116	DRR480393
93d3be19-7724-4d12-af38-66b3d3ac100e	DRR480394
ebbd7d70-31f2-411c-8de2-13abb29a7ca6	DRR480395
1a6867f0-940e-4d61-b994-0b53f02a73bf	DRR480396
f7da98a2-7738-4586-a317-d09beba0f113	DRR480397
1fd2f346-24da-4d92-bb1e-4acda27889a7	DRR480398
9082db86-4640-4e08-8e2e-00c2414852fb	DRR480399
004c5d07-ec87-40fe-9a72-6b23d6ec584e	DRR480400
ba72b68c-3e54-4d51-a0ca-c09e0072fdda	DRR480401
5d62fe45-6ebf-41f6-bfb2-d580acae8178	DRR480402
edd964b6-f732-4fc0-9d2a-3a4fa8cc42be	DRR480403
646163a0-ea07-40e3-89b8-df93714b9974	DRR480404
b5d993cb-91ca-44a4-a2a3-0c74efe75e4e	DRR480405
d4c00859-7aff-4f4b-94de-37117b8a3fc7	DRR480406
76978baa-95ad-411c-895c-6132be183174	DRR480407
323c7998-7930-4927-b5ed-efd90e5dbc21	DRR480408
d1852be2-37f6-45b9-be03-5a6e5faa06ef	DRR480409
f371d205-6513-45ea-b4ee-d8c872c662ec	DRR480410
6143b73c-33a0-4bbc-98df-504c2363d210	DRR480411
2f1cf1c4-064b-4a4e-8961-201b31cc4e46	DRR480412
d9cc81ea-c39e-46a6-a6f9-eb5584b87706	DRR480413
605ef8a2-ea22-4787-bb7b-607e9d8a0b6d	DRR480414
063453e2-c314-42db-b977-0cd55566b0ab	DRR480415
5fdadbf2-50de-4194-9403-6e5ef9abcc39	DRR480416
f8b4a972-23ac-407a-b03b-13dbef591c4b	DRR480417
ee64575c-6b2e-4ffc-82d9-3dc1498c452b	DRR480418
111af79c-2bd6-475f-af9e-794b2259f1e1	DRR480419
4965ee92-638c-42f0-88b0-a32dc6add5c0	DRR480420
2b9d353c-a024-4415-ba12-bdc55ab2231f	DRR480421
48ba20d3-0275-4bb0-ac7a-895ad90003ed	DRR480422
ee8bb6ba-6ef6-4ae9-b48d-ec129411ea9b	DRR480423
3c6fdbc8-f091-4839-87fd-f9dbce49959b	DRR480424
d25eee7c-84d0-4c19-8523-0c1ae83aeb14	DRR480425
28a66448-70e6-4ebb-a9c7-1c782eeaa66a	DRR480426
5e31a77c-acd8-45c2-a06d-0018b36e0b59	DRR480427
ece5de09-c4a6-4fd9-a024-94ace21aea76	DRR480428
9a1947e9-76e3-4f38-97c6-acd629a60847	DRR480429
9a0c5b40-3d61-4fc8-b1db-3e886dffc9a3	DRR480430
6fc7fe2f-6b5d-470f-9a9b-0a4245b55ab6	DRR480431
31aff059-5250-4739-87ab-09cd903b2ab3	DRR480432
9bf15d7e-f192-4415-9c03-d8a8c42f329d	DRR480433
c168de01-a65f-483f-9572-dff37eed6b7d	DRR480434
fa0c7f36-7a4c-443b-b28f-b621120a7bb7	DRR480435
596c400d-c6d4-4c84-bf1d-d4e1b6093e58	DRR480436
cfd30a99-391e-496a-8a19-3287dfe4ce8c	DRR480437
e3ea5a06-2111-4c4f-8991-b35890ca7662	DRR480438
f1872550-a3a2-4308-9337-c76a461c0a89	DRR480439
a58f8bd3-29f8-403c-a7c9-916e90f59d7a	DRR480440
f5eb9b9d-7224-4c85-851b-38a7865c08bf	DRR480441
57a9f33e-9aee-40bc-a65c-4a8890cc7f9d	DRR480442
2a5f866b-72d7-43f7-a5db-87364602f902	DRR480443
b06081fc-9853-4884-b3c4-0b91967fb7ca	DRR480444
a41d8a3b-2ffd-4294-b7d1-c27b3356f7b7	DRR480445
b328699b-160b-4abe-b081-fe9ee5356359	DRR480446
9f1425b6-9cc1-46e9-ac2a-02ea16794b0d	DRR480447
0a575304-916a-4e20-986d-60895e5b1b20	DRR480448
55e9b628-76f9-4238-b42e-af49a7a84690	DRR480449
