study_name	BioProject	sample_id	NCBI_accession	uuid
MaoL_2021	PRJNA588035	SAMN13221636	SRR10403550	4985aa08-6138-4146-8ae3-952716575395
MaoL_2021	PRJNA588035	SAMN13221637	SRR10403549	c508d598-1fe5-4cc7-8c15-83f7023fa348
MaoL_2021	PRJNA588035	SAMN13221638	SRR10403548	f899b110-3c06-4f16-9b92-be5d92f98ea3
MaoL_2021	PRJNA588035	SAMN13221639	SRR10403547	6f50e53b-1633-44b7-8f50-1454de2ff6d0
MaoL_2021	PRJNA588035	SAMN13221640	SRR10403546	4c7d63c3-fb25-46a5-bdbf-6ae49a541d62
MaoL_2021	PRJNA588035	SAMN13221641	SRR10403545	e5db2658-fcfb-4498-a2af-b505b167b743
MaoL_2021	PRJNA588035	SAMN13221642	SRR10403515	fef48567-7d70-407b-913c-b594fd55b579
MaoL_2021	PRJNA588035	SAMN13221643	SRR10403514	0ed76a5c-b7ec-417b-925b-9d94f6dd42f6
MaoL_2021	PRJNA588035	SAMN13221644	SRR10403513	7988a5b8-d97e-4ef0-a2c2-02e302ac910b
MaoL_2021	PRJNA588035	SAMN13221645	SRR10403512	689ea475-e1ee-47db-9630-4e6e8c516fb9
MaoL_2021	PRJNA588035	SAMN13221646	SRR10403511	982ce6f7-6996-42a3-a5bf-94b538a2ace0
MaoL_2021	PRJNA588035	SAMN13221647	SRR10403510	c9b2528f-d27c-4dac-818f-c44babea4140
MaoL_2021	PRJNA588035	SAMN13221648	SRR10403509	31ae2069-3fda-4cc4-b12a-4163b04356e2
MaoL_2021	PRJNA588035	SAMN13221649	SRR10403508	59c2dee3-1686-490a-a4ba-8d95b84acff7
MaoL_2021	PRJNA588035	SAMN13221650	SRR10403507	409a305f-f2c2-4397-936f-d332983a552e
MaoL_2021	PRJNA588035	SAMN13221651	SRR10403506	d4217ace-a87d-4d21-95d8-58c434f6f279
MaoL_2021	PRJNA588035	SAMN13221652	SRR10403504	a86d6509-5e67-4dbd-88ff-9928b8457adb
MaoL_2021	PRJNA588035	SAMN13221653	SRR10403503	2e50e46c-b28f-49a6-95ab-86f23d7dc05c
MaoL_2021	PRJNA588035	SAMN13221654	SRR10403502	56a122c9-f439-403b-8000-a80abe23296d
MaoL_2021	PRJNA588035	SAMN13221655	SRR10403501	939be304-c94d-4068-8c6c-f2ebc5a01a11
MaoL_2021	PRJNA588035	SAMN13221656	SRR10403500	4dac0d2f-41df-4337-9439-bc152e05237f
MaoL_2021	PRJNA588035	SAMN13221657	SRR10403499	a99e0a0b-fe68-4683-abfb-095e044f0833
MaoL_2021	PRJNA588035	SAMN13221658	SRR10403498	7447476f-5eb0-4789-be62-b242c65295a8
MaoL_2021	PRJNA588035	SAMN13221659	SRR10403497	40da8008-43ed-4800-8d53-e6e6a7a4eb14
