study_name	BioProject	sample_id	NCBI_accession	uuid
DuruIC_2024	PRJEB59350	SAMEA112439754	ERR10822020	54f75829-41a9-4b17-a25a-1acff33ad9e1
DuruIC_2024	PRJEB59350	SAMEA112439755	ERR10822056	21d19f50-2137-48f6-81d7-eba3d66e6768
DuruIC_2024	PRJEB59350	SAMEA112439756	ERR10822063	8e99e7c1-ee2c-4e5d-a294-ca3803e3ee92
DuruIC_2024	PRJEB59350	SAMEA112439757	ERR10822770	84db8e5d-3d5b-4f59-aded-4becbbbf307b
DuruIC_2024	PRJEB59350	SAMEA112439758	ERR10822786	dd407ea5-e2e4-4d6b-aa51-24a596e73a82
DuruIC_2024	PRJEB59350	SAMEA112439759	ERR10822818	50f39ce5-9a3e-4ce5-af48-8167f3bd0137
DuruIC_2024	PRJEB59350	SAMEA112439760	ERR10822937	ee4ace26-bd28-408a-8aac-28bcc1427ed7
DuruIC_2024	PRJEB59350	SAMEA112439761	ERR10822963	586c5de7-8486-4c68-88b5-f98d8b32a4ef
DuruIC_2024	PRJEB59350	SAMEA112439762	ERR10822983	34d1bdef-74da-476c-ae84-57abb332d247
DuruIC_2024	PRJEB59350	SAMEA112439763	ERR10822992	d4e8414f-b53e-4066-8d70-e87ebde73351
DuruIC_2024	PRJEB59350	SAMEA112439764	ERR10823028	73c1b80b-53f1-4f6e-bf3b-36b8606c83e3
DuruIC_2024	PRJEB59350	SAMEA112439765	ERR10823035	8eb09545-9f28-4974-8b95-7e254890a057
DuruIC_2024	PRJEB59350	SAMEA112439766	ERR10823039	6c20736c-9d5f-4a7f-9325-2b7c81040fdd
DuruIC_2024	PRJEB59350	SAMEA112439767	ERR10823058	9502ce37-ebfd-4c11-b02a-083bd5a6bce6
DuruIC_2024	PRJEB59350	SAMEA112439768	ERR10823067	4a793a3c-bd3d-497a-9710-c239b66cc26d
DuruIC_2024	PRJEB59350	SAMEA112439769	ERR10823074	a30f097f-2e51-4d56-a2de-5c3f009d1c6f
DuruIC_2024	PRJEB59350	SAMEA112439770	ERR10823092	f7e0efeb-2794-448c-9f0f-9e429017176c
DuruIC_2024	PRJEB59350	SAMEA112439771	ERR10823101	bd6abaea-f10d-4aa0-84cf-46f411a28698
DuruIC_2024	PRJEB59350	SAMEA112439772	ERR10823138	67e2d2c4-3b67-413f-8c05-0acd282259c5
DuruIC_2024	PRJEB59350	SAMEA112439773	ERR10824026	29fea932-34bf-47a5-8cb8-a8a10a1ca7c8
DuruIC_2024	PRJEB59350	SAMEA112439774	ERR10824096	51388fa0-5203-4309-afa5-61d530f82850
DuruIC_2024	PRJEB59350	SAMEA112439775	ERR10824132	84fc7e03-38e7-46d9-835f-305167b73ec2
DuruIC_2024	PRJEB59350	SAMEA112439776	ERR10824161	9611459a-716d-49e4-953e-65f649e376dd
DuruIC_2024	PRJEB59350	SAMEA112439777	ERR10824179	ca40328b-bb09-4892-89ef-b04763d0f307
DuruIC_2024	PRJEB59350	SAMEA112439778	ERR10824210	d51c08ba-5b4b-4ea0-903e-0b227bf9fabf
DuruIC_2024	PRJEB59350	SAMEA112439779	ERR10824345	10364550-9657-42c9-8daf-8cb7c5faa1d1
DuruIC_2024	PRJEB59350	SAMEA112439780	ERR10824553	c716650e-9d5a-4f0f-b203-16d1c39174ce
DuruIC_2024	PRJEB59350	SAMEA112439781	ERR10824969	d2dd41b2-bc95-4ba8-a409-38da593ce343
DuruIC_2024	PRJEB59350	SAMEA112439782	ERR10825037	1b4066c0-e184-4de5-a718-492c1c50225f
DuruIC_2024	PRJEB59350	SAMEA112439783	ERR10825046	321165be-2f4c-42bf-bc1b-e4120ef9d6a7
