study_name	BioProject	sample_id	NCBI_accession	uuid
NishiwakiH_2024	PRJDB15956	SAMD00618089	DRR480336	462a7031-0545-44c6-b87b-69aebb090637
NishiwakiH_2024	PRJDB15956	SAMD00618090	DRR480337	78b29497-76eb-481c-a560-c66b2fff03aa
NishiwakiH_2024	PRJDB15956	SAMD00618091	DRR480338	035ef826-8f85-4a6b-84c8-7e031c65885f
NishiwakiH_2024	PRJDB15956	SAMD00618092	DRR480339	d2270b42-e743-48d5-91f5-e3fbe228b622
NishiwakiH_2024	PRJDB15956	SAMD00618093	DRR480340	e8c80573-673a-4f92-94bb-8701b573977c
NishiwakiH_2024	PRJDB15956	SAMD00618094	DRR480341	2b517ffd-d735-4749-9c94-76ac75437a5b
NishiwakiH_2024	PRJDB15956	SAMD00618095	DRR480342	47e11cd4-e57f-467a-8824-5637d6813abb
NishiwakiH_2024	PRJDB15956	SAMD00618096	DRR480343	615a9b15-0e0e-492e-8137-446d3a8536a6
NishiwakiH_2024	PRJDB15956	SAMD00618097	DRR480344	19dae0ed-c3dc-422d-aa74-529bae5ee8c6
NishiwakiH_2024	PRJDB15956	SAMD00618098	DRR480345	bc990d45-773d-4b23-bacb-de9cf7a3ea1a
NishiwakiH_2024	PRJDB15956	SAMD00618099	DRR480346	0b37ae6d-be2e-4d9b-a9db-174f38421abb
NishiwakiH_2024	PRJDB15956	SAMD00618100	DRR480347	fa60c410-a0e0-45fa-ad63-9585ce87ad27
NishiwakiH_2024	PRJDB15956	SAMD00618101	DRR480348	46d91ba3-4f73-444b-81ce-4a6b3d5c82f9
NishiwakiH_2024	PRJDB15956	SAMD00618102	DRR480349	1951e125-28ea-4e38-b2b1-6e4235b691bc
NishiwakiH_2024	PRJDB15956	SAMD00618103	DRR480350	6355c63e-2ca3-41ae-a316-51afd06116fe
NishiwakiH_2024	PRJDB15956	SAMD00618104	DRR480351	116b44d1-a587-4834-8a3f-e9210a82d50b
NishiwakiH_2024	PRJDB15956	SAMD00618105	DRR480352	375fbf7b-2dba-4106-9963-f3a9748b14bf
NishiwakiH_2024	PRJDB15956	SAMD00618106	DRR480353	b7979b28-97d5-4681-a2a7-8bccd0d893b4
NishiwakiH_2024	PRJDB15956	SAMD00618107	DRR480354	6952c77b-c4ce-4c3e-a2a7-97b4134f41fc
NishiwakiH_2024	PRJDB15956	SAMD00618108	DRR480355	c4627139-efc9-455d-85cf-bb6d9a550677
NishiwakiH_2024	PRJDB15956	SAMD00618109	DRR480356	5d714522-98df-47b6-83b3-371cacf8c915
NishiwakiH_2024	PRJDB15956	SAMD00618110	DRR480357	05e88693-fe39-47f9-96fc-c2ac504daedd
NishiwakiH_2024	PRJDB15956	SAMD00618111	DRR480358	997efcc7-9a83-4b7e-8380-d29e7d194077
NishiwakiH_2024	PRJDB15956	SAMD00618112	DRR480359	f4e3f5b3-2a09-468e-99c6-a52b76929508
NishiwakiH_2024	PRJDB15956	SAMD00618113	DRR480360	6b3c1d63-fcf1-42d8-ba67-2ca9275e86a9
NishiwakiH_2024	PRJDB15956	SAMD00618114	DRR480361	61453870-ec31-4bff-b392-d1b64634c794
