study_name	BioProject	sample_id	NCBI_accession	uuid
JoS_2022	PRJNA743718	SAMN20058778	SRR15040946	0497e34d-0304-401b-a435-2b8ffe0c1a22
JoS_2022	PRJNA743718	SAMN20058779	SRR15040945	414daa31-599d-4aa1-ad3b-35779639a62e
JoS_2022	PRJNA743718	SAMN20058780	SRR15040944	3e36d27a-eb15-4de6-9e69-a717485309cc
JoS_2022	PRJNA743718	SAMN20058781	SRR15040943	6f3bc5f6-af85-4a66-9564-17c666721298
JoS_2022	PRJNA743718	SAMN20058782	SRR15040942	4a26d18c-2a75-4fd1-9013-4a88c6165aad
JoS_2022	PRJNA743718	SAMN20058783	SRR15040940	edf29840-a475-4d69-9f3a-be229f11e9a6
JoS_2022	PRJNA743718	SAMN20058784	SRR15040939	9d07f635-5a5b-44a0-99c6-b29c7f4120b2
JoS_2022	PRJNA743718	SAMN20058785	SRR15040938	f80d83de-2619-4c52-9983-e32117628131
JoS_2022	PRJNA743718	SAMN20058786	SRR15040937	def62f37-3382-434b-b3b9-c3e7dc9cb7ff
JoS_2022	PRJNA743718	SAMN20058787	SRR15040936	6bf99ca5-48ce-46ae-924f-8da9eef60595
JoS_2022	PRJNA743718	SAMN20058788	SRR15040935	6d2e887c-f6b3-4944-91c0-73ce55260111
JoS_2022	PRJNA743718	SAMN20058789	SRR15040934	072b7fce-522a-4c1f-b65b-c63bfc44a7e1
JoS_2022	PRJNA743718	SAMN20058790	SRR15040933	3eb4b142-fcff-4a9f-822e-778ad94886b5
JoS_2022	PRJNA743718	SAMN20058791	SRR15040932	6f27d8e7-d2dc-4da5-9938-56fa2e75a7ec
JoS_2022	PRJNA743718	SAMN20058792	SRR15040931	fdc5f66b-d2cc-4e7b-b65a-2a92a141cbb8
JoS_2022	PRJNA743718	SAMN20058793	SRR15040929	a2464b9a-6d4d-42e6-a1a7-9c61fea8f51d
JoS_2022	PRJNA743718	SAMN20058794	SRR15040928	590629e4-1812-4d7b-9df1-8bf05ff81177
JoS_2022	PRJNA743718	SAMN20058795	SRR15040927	5092e6a9-8692-4741-8f28-b5b0f8cab11a
JoS_2022	PRJNA743718	SAMN20058796	SRR15040926	7023254b-c840-4946-a5ed-5246cdc4a97b
JoS_2022	PRJNA743718	SAMN20058797	SRR15040925	0b59bbb7-29c4-40a9-b88f-3b55cf615b1d
JoS_2022	PRJNA743718	SAMN20058798	SRR15040924	367613f5-f3a3-4448-99da-4d204b93b422
JoS_2022	PRJNA743718	SAMN20058799	SRR15040923	6a2276f1-077f-4645-8271-27b25497b5fa
JoS_2022	PRJNA743718	SAMN20058800	SRR15040922	618c1ccf-05f7-4c9e-8edb-eb7aa647f641
JoS_2022	PRJNA743718	SAMN20058801	SRR15040921	117bb260-96c7-4aa5-8284-98b2970bb8b6
JoS_2022	PRJNA743718	SAMN20058802	SRR15040920	8d300933-5d2f-45bf-b263-3b2571529411
